Date launched,Phone,Company,Specs,Brunei,Cambodia,East Timor,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
2019-09,iPhone 11,Apple,"6.1"" Liquid Retina IPS LCD",7,7,-,8,8,8,-,8,8,8,8
2020-02,Samsung Galaxy S20 Ultra,Samsung,"6.9"" Dynamic AMOLED 2X",7,7,-,8,8,8,-,8,8,8,8
2021-03,Xiaomi Redmi Note 10,Xiaomi,"6.43"" Super AMOLED",7,-,-,7,7,7,7,7,-,7,7
2021-04,OPPO A54,Oppo,"6.51"" IPS LCD",6,-,-,7,7,-,-,7,-,7,-
2020-09,Vivo Y20,Vivo,"6.51"" IPS LCD",7,7,-,-,-,-,-,6,-,-,-
2020-02,Huawei Y9a,Huawei,"6.63"" IPS LCD",6,6,-,-,-,-,-,-,-,-,-
2021-03,Xiaomi Redmi 10,Xiaomi,"6.5"" IPS LCD",7,8,-,8,-,-,7,-,-,7,7
2021-03,Samsung Galaxy A52,Samsung,"6.5"" Super AMOLED",8,8,-,8,8,8,8,8,8,8,8
2021-05,Vivo Y33s,Vivo,"6.58"" IPS LCD",6,-,-,7,-,-,-,-,-,-,7
2021-05,Xiaomi Redmi 10,Xiaomi,"6.5"" IPS LCD",7,-,-,7,-,-,-,-,-,-,7
2020-11,Vivo Y11s,Vivo,"6.51"" IPS LCD",-,-,-,-,6,-,-,-,6,-,-
2020-02,Huawei Nova 7i,Huawei,"6.4"" IPS LCD",-,-,-,6,-,-,-,-,-,-,-
2021-03,Samsung Galaxy A52,Samsung,"6.5"" Super AMOLED",8,8,-,8,8,8,8,8,8,8,8
2021-09,iPhone 13,Apple,"6.1"" Super Retina XDR OLED",-,-,-,9,-,9,-,9,9,-,9
2021-01,Samsung Galaxy S21,Samsung,"6.2"" Dynamic AMOLED 2X",8,8,-,8,8,8,-,8,8,8,8
2021-10,Google Pixel 6,Google,"6.4"" AMOLED",--,--,--,--,--,--,--,--,8,--,--
2021-06,OnePlus Nord CE,OnePlus,"6.43"" Fluid AMOLED",--,--,--,7,--,--,--,--,--,8,--
2021-09,Apple iPhone 13 Pro,Apple,"6.1"" Super Retina XDR OLED",9,9,-,9,9,9,9,9,9,9,9
2021-02,Samsung Galaxy A32 5G,Samsung,"6.5"" TFT",7,7,-,7,7,7,7,7,7,7,7
2021-03,Realme C25,Realme,"6.5"" IPS LCD",-,6,-,7,7,-,6,6,-,7,-
2021-05,Xiaomi Poco X3 Pro,Xiaomi,"6.67"" IPS LCD",7,-,-,7,7,-,7,-,7,-,7
2021-09,Samsung Galaxy Z Flip 3,Samsung,"6.7"" Dynamic AMOLED 2X",8,8,-,8,8,8,8,8,8,8,8
2020-08,Xiaomi Poco X3 NFC,Xiaomi,"6.67"" IPS LCD",-,-,-,7,-,-,7,-,7,-,7
2021-02,OPPO A93,Oppo,"6.43"" AMOLED",7,-,-,7,7,-,-,-,7,7,-
2020-10,Vivo V20,Vivo,"6.44"" AMOLED",7,-,-,-,-,-,-,-,-,-,-
2019-05,Samsung Galaxy A50,Samsung,"6.4"" Super AMOLED",7,-,-,7,7,-,-,7,-,7,7
2019-08,Xiaomi Redmi Note 7,Xiaomi,"6.3"" IPS LCD",-,-,-,8,-,-,7,-,7,-,7
2021-04,Realme C21,Realme,"6.5"" IPS LCD",-,-,-,7,7,-,6,6,-,7,-
2019-09,Google Pixel 4,Google,"5.7"" P-OLED",7,-,-,-,-,-,-,7,-,7,-
2019-08,Samsung Galaxy A10s,Samsung,"6.2"" PLS TFT",-,6,-,6,6,6,6,-,6,-,6
2021-02,Realme Narzo 30A,Realme,"6.5"" IPS LCD",-,-,-,7,7,-,6,6,-,7,-
2021-05,Samsung Galaxy A22 5G,Samsung,"6.6"" TFT",7,7,-,7,7,7,7,7,7,7,7
2020-08,Xiaomi Redmi 9,Xiaomi,"6.53"" IPS LCD",-,-,-,7,-,-,7,-,7,-,7
2020-02,Realme C3,Realme,"6.5"" IPS LCD",-,-,-,7,7,-,6,6,-,7,-
2018-10,Samsung Galaxy A7,Samsung,"6.0"" Super AMOLED",-,-,-,7,7,-,-,-,7,7,7
2020-09,Xiaomi Poco X3 NFC,Xiaomi,"6.67"" IPS LCD",-,-,-,7,-,-,7,-,7,-,7
